"code";"x";"y";"num_regime";"hydro_regime"
"L040061001";"570114.0974";"6530322.6";"4";"PTC"
"L051301001";"571095.6495";"6516226.707";"2";"PC"
"L056301001";"563225.5936";"6518989.92";"2";"PC"
"L061400000";"556697.3";"6523788.1";"2";"PC"
"L061402001";"559479.9262";"6525115.79";"2";"PC"
"L062061001";"555870.0001";"6523547.551";"2";"PC"
"L062401001";"554748.5875";"6520858.928";"2";"PC"
"L070061001";"552415.695";"6528671.55";"4";"PTC"
"L080030000";"548508.1";"6538399.7";"2";"PC"
"L081301001";"538396.991";"6536981.033";"4";"PTC"
"L091402001";"536134.2912";"6529206.582";"4";"PTC"
"L092061002";"527979";"6531826";"2";"PC"
"L093000100";"527748.4617";"6528240.124";"4";"PTC"
"L094061001";"519709.809";"6548626.644";"2";"PC"
"L100401001";"520892.1235";"6546618.544";"4";"PTC"
"L111301001";"525934.7738";"6552271.834";"4";"PTC"
"L111302001";"521244.0733";"6552909.937";"4";"PTC"
"L111302100";"529075.9155";"6553207.94";"4";"PTC"
"L120000301";"520077";"6565745";"2";"PC"
"L130000200";"526964.1192";"6569626.31";"2";"PC"
"L131000101";"523481.8348";"6581767.421";"4";"PTC"
"L131000400";"524529.515";"6577253.906";"4";"PTC"
"L132400000";"524601.4";"6585442.8";"2";"PC"
"L140061001";"523466.4909";"6591958.823";"2";"PC"
"L143000200";"517654.5257";"6600062.224";"2";"PC"
"L144061001";"519422.7101";"6610377.397";"2";"PC"
"L200000300";"509623.725";"6571660.491";"2";"PC"
"L202000300";"496517.9215";"6578638.715";"1";"P"
"L203000200";"492164.2767";"6580942.003";"2";"PC"
"L210301001";"487261.5169";"6587762.451";"4";"PTC"
"L210301300";"482851.0518";"6581702.558";"4";"PTC"
"L211401001";"478630.401";"6571047.778";"4";"PTC"
"L211401300";"487722.9695";"6586586.885";"4";"PTC"
"L220161002";"488879.9179";"6590147.401";"4";"PTC"
"L221301001";"463717.0848";"6604243.599";"4";"PTC"
"L225030000";"476013.1";"6599892.5";"4";"PTC"
"L225301001";"481640.1104";"6596701.614";"4";"PTC"
"L231301001";"491628.7639";"6596319.258";"2";"PC"
"L231301101";"500465.4401";"6589551.932";"1";"P"
"L231301401";"497500";"6591137";"4";"PTC"
"L232440000";"493359.4956";"6600202.066";"4";"PTC"
"L233401001";"498602.8764";"6605953.639";"1";"P"
"L233401200";"503607.5171";"6602656.546";"2";"PC"
"L234161001";"496753.3383";"6611864.178";"4";"PTC"
"L240401001";"480945.6894";"6609397.334";"4";"PTC"
"L240402001";"486356.6541";"6611250.753";"4";"PTC"
"L240403001";"491263.1094";"6612509.124";"4";"PTC"
"L240404001";"495557.6956";"6612273.751";"4";"PTC"
"L242401400";"476434.8292";"6617669.403";"4";"PTC"
"L243000300";"480321.0968";"6619429.967";"4";"PTC"
"L244030000";"498288";"6618496.1";"4";"PTC"
"L244301001";"490203.7411";"6617314.027";"4";"PTC"
"L250161001";"503062.9273";"6625700.806";"4";"PTC"
"L251000300";"493803.6375";"6628442.48";"1";"P"
"L252301001";"497478.514";"6627046.32";"1";"P"
"L252301100";"503003.7708";"6627791.383";"1";"P"
"L253016100";"509079.2";"6631017.7";"4";"PTC"
"L301000100";"519544.7048";"6621616.339";"2";"PC"
"L302000300";"517981.3617";"6627967.026";"1";"P"
"L303301001";"515416.08";"6633292.659";"1";"P"
"L311000100";"496225.6952";"6638171.806";"2";"PC"
"L312301001";"508958.0863";"6637742.404";"1";"P"
"L312301100";"505206.4585";"6635937.539";"1";"P"
"L320062001";"514512.1924";"6644790.811";"2";"PC"
"L323006000";"515205.5";"6658880.1";"2";"PC"
"L401071001";"635375.6163";"6532475.047";"2";"PC"
"L403301001";"636215.0805";"6537263.56";"2";"PC"
"L410071001";"635932.1089";"6539264.528";"2";"PC"
"L420000301";"624804.1031";"6558641.042";"2";"PC"
"L421071001";"616705.2468";"6569899.446";"2";"PC"
"L422071001";"598466.3188";"6587337.625";"2";"PC"
"L430017000";"634190";"6582813.1";"2";"PC"
"L431400000";"632614.2";"6580297.4";"2";"PC"
"L440000101";"622723.7251";"6584636.784";"2";"PC"
"L441171001";"599272.2837";"6588130.233";"2";"PC"
"L452302001";"591846.3445";"6584295.472";"2";"PC"
"L452302002";"593371.7029";"6587480.099";"2";"PC"
"L453000201";"593541.7022";"6595871.798";"2";"PC"
"L454071001";"591398.7055";"6602484.638";"2";"PC"
"L454072001";"586473.1506";"6610918.969";"2";"PC"
"L465301001";"595036.6542";"6619340.349";"2";"PC"
"L470071001";"579622.5144";"6616171.949";"2";"PC"
"L471071001";"569130.823";"6616159.177";"2";"PC"
"L473071001";"551249.7281";"6616707.723";"2";"PC"
"L500181001";"606317.6663";"6558396.084";"1";"P"
"L501018000";"593954.6";"6564915";"1";"P"
